"course_id","title","provider","category","level","rating","duration_hours","price_usd","skills_covered","prerequisites","description","url"
"C091","Practical Deep Learning for Computer Vision","Coursera (DeepLearning.AI)","AI & Machine Learning","Intermediate","4.7","30","49.0","YOLOv8; Torchvision; ResNet; Data Augmentation; Object Detection","Python; PyTorch","Build industrial computer vision applications for edge devices and cloud inference servers.","https://www.coursera.org/specializations/deep-learning"
"C092","Vector Search and Embeddings Masterclass","Pinecone Academy","AI & Machine Learning","Intermediate","4.8","10","0.0","Embeddings; Vector Databases; HNSW; Cosine Similarity; Hybrid Search; RAG","Python Basics","Master high-dimensional vector search similarity metrics and index tuning for enterprise AI search.","https://www.pinecone.io/learn/"
"C093","Building Agents with AutoGen","DeepLearning.AI & Microsoft","AI & Machine Learning","Advanced","4.8","6","0.0","AutoGen; Conversational Agents; Code Execution; Multi-Agent Groups","Python","Create multi-agent conversational systems with autonomous tool execution using Microsoft AutoGen.","https://www.deeplearning.ai/short-courses/building-agentic-rag-with-llamaindex/"
"C094","Agentic Design Patterns","DeepLearning.AI","AI & Machine Learning","Intermediate","4.9","5","0.0","Reflection; Tool Use; Planning; Multi-Agent Collaboration; Agentic Workflows","Python","Explore key architectural patterns for building resilient autonomous AI agents with LLMs.","https://www.deeplearning.ai/short-courses/"
"C095","Introduction to UI Design","Coursera (University of Minnesota)","UI/UX Design","Beginner","4.6","15","49.0","Visual Hierarchy; Typography; Color Theory; Grid Systems; Interface Layout","None","Learn visual design fundamentals to create clean readable and engaging digital user interfaces.","https://www.coursera.org/learn/ui-design"
"C096","Accessibility for Web Developers","Google Developers / web.dev","Web Development","Beginner","4.9","12","0.0","WCAG; ARIA; Screen Readers; Color Contrast; Keyboard Navigation","HTML CSS JS","Learn how to build inclusive accessible digital experiences adhering to modern WCAG guidelines.","https://web.dev/learn/accessibility/"
"C097","AI Product Management Specialization","Coursera (Duke University)","UI/UX Design","Beginner","4.7","20","49.0","Machine Learning for PMs; AI Ethics; Project Scoping; KPI Definition","None","Learn how to manage and deliver machine learning products from user need identification to deployment.","https://www.coursera.org/specializations/ai-product-management-duke"
"C098","Unreal Engine 5 C++ The Ultimate Game Developer Course","Udemy (Stephen Ulibarri)","Software Engineering","Intermediate","4.8","45","19.99","Unreal Engine 5; C++; Gameplay Framework; AI Behavior Trees; Materials","C++ Basics","Learn C++ game programming from scratch by building an action-adventure RPG in Unreal Engine 5.","https://www.udemy.com/course/unreal-engine-5-the-ultimate-game-developer-course/"
"C099","Modern Computer Architecture and Organization","Carnegie Mellon University","Computer Science","Advanced","4.9","75","0.0","Pipelining; Cache Coherence; Out-of-Order Execution; Branch Prediction; VLIW","C and Digital Logic","CMU legendary course on processor design memory hierarchy and hardware performance acceleration.","https://www.cs.cmu.edu/~213/"
"C100","Apache Spark 3 - Real-Time Data Engineering","Udemy (Frank Kane)","Data Science","Intermediate","4.7","16","19.99","Apache Spark; PySpark; Spark Streaming; DataFrames; Big Data; Cluster Computing","Python Basics","Process massive datasets in real-time with distributed computing using Apache Spark 3 and Python.","https://www.udemy.com/course/taming-big-data-with-apache-spark-hands-on/"
